Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS10DS10_0_1_VS_DS30DS30_6_1,124,-11.40186012,-3.772640602,1.276406728,5.463152577,9.897845911,13.09208562
DS10DS10_0_1_VS_DS30DS30_6_1,128,-11.3302404,-3.626679604,1.470496181,5.764241898,10.29891637,13.55045185
DS10DS10_0_1_VS_DS30DS30_6_1,132,-11.27294462,-3.48472931,1.724459724,6.655620988,10.69998682,14.06611387
DS10DS10_0_1_VS_DS30DS30_6_1,136,-10.78593049,-3.338195354,1.915397909,6.388479416,11.21564884,14.56745194
DS10DS10_0_1_VS_DS30DS30_6_1,140,-11.50212774,-3.192950553,2.150597084,7.491423171,11.7456348,15.22635341
DS10DS10_0_1_VS_DS30DS30_6_1,144,-10.97214178,-3.062459415,2.351275552,7.004409045,12.08940948,15.91390276
DS10DS10_0_1_VS_DS30DS30_6_1,148,-10.92916994,-2.91563898,2.553529653,7.892493628,12.43318415,16.18605771
DS10DS10_0_1_VS_DS30DS30_6_1,152,-10.914846,-2.799042069,2.786007279,7.577366841,12.87722645,16.58712817
DS10DS10_0_1_VS_DS30DS30_6_1,156,-10.81457838,-2.67127248,3.041403216,8.723282431,13.26397296,17.14576202
DS10DS10_0_1_VS_DS30DS30_6_1,160,-10.81457838,-2.561694302,3.240219571,8.880845825,13.62207158,17.63277615
DS10DS10_0_1_VS_DS30DS30_6_1,164,-10.32756426,-2.430200488,3.509509735,9.39650784,14.09476176,17.97655082
DS10DS10_0_1_VS_DS30DS30_6_1,168,-10.37053609,-2.295412167,3.659051719,9.42515573,14.30962093,18.52086073
DS10DS10_0_1_VS_DS30DS30_6_1,172,-10.54242343,-2.158475254,3.868181314,9.654338848,14.86825478,18.8646354
DS10DS10_0_1_VS_DS30DS30_6_1,176,-10.48512765,-2.012084537,4.122288097,9.811902242,15.26932524,19.38029742
DS10DS10_0_1_VS_DS30DS30_6_1,180,-10.48512765,-1.90207664,4.333136565,9.926493801,15.57012808,19.86731155
DS10DS10_0_1_VS_DS30DS30_6_1,184,-10.42783187,-1.753250853,4.527082779,10.25594453,15.99984643,20.31135384
DS10DS10_0_1_VS_DS30DS30_6_1,188,-10.37053609,-1.644245633,4.726042373,10.45647976,16.38659294,20.72674824
DS10DS10_0_1_VS_DS30DS30_6_1,192,-9.95514169,-1.509457311,4.936890842,10.61404315,16.73036762,21.05619897
DS10DS10_0_1_VS_DS30DS30_6_1,196,-9.940817746,-1.405608711,5.120667055,11.58807141,17.11711413,21.64348071
DS10DS10_0_1_VS_DS30DS30_6_1,200,-10.0554093,-1.266952924,5.35314468,11.65969113,17.53250853,22.20211456
DS10DS10_0_1_VS_DS30DS30_6_1,204,-10.04108536,-1.185163199,5.54293695,12.4475081,17.79033954,22.6604808
DS10DS10_0_1_VS_DS30DS30_6_1,208,-10.04108536,-1.040491356,5.747196404,12.90587434,18.3203255,23.03290336
DS10DS10_0_1_VS_DS30DS30_6_1,212,-9.940817746,-0.934350924,5.927964588,13.06343773,18.69274807,23.30505832
DS10DS10_0_1_VS_DS30DS30_6_1,216,-9.897845911,-0.781800911,6.144972353,13.22100112,19.03652274,23.89234006
DS10DS10_0_1_VS_DS30DS30_6_1,220,-9.840550131,-0.632430814,6.316859691,13.29262085,19.33732559,24.36503024
DS10DS10_0_1_VS_DS30DS30_6_1,224,-9.998113525,-0.535772834,6.546042809,13.57909974,19.68110026,24.80907253
DS10DS10_0_1_VS_DS30DS30_6_1,228,-9.797578297,-0.398320259,7.233592164,13.67936736,20.15379044,25.26743877
DS10DS10_0_1_VS_DS30DS30_6_1,232,-9.797578297,-0.263761121,6.961437211,13.96584626,20.45459329,25.62553739
DS10DS10_0_1_VS_DS30DS30_6_1,236,-9.797578297,-0.137223678,7.60601473,14.19502937,20.79836796,26.0122839
DS10DS10_0_1_VS_DS30DS30_6_1,240,-9.797578297,0.001346451,7.362507667,14.91122662,21.22808631,26.48497408
DS10DS10_0_1_VS_DS30DS30_6_1,244,-9.353536006,0.112600531,7.563042896,15.14040974,21.57186099,26.95766426
DS10DS10_0_1_VS_DS30DS30_6_1,248,-9.296240226,0.234253795,8.178972525,15.46986047,21.87266383,27.48765022
DS10DS10_0_1_VS_DS30DS30_6_1,252,-9.224620502,0.351137185,7.978437297,15.62742386,22.30238218,27.91736857
DS10DS10_0_1_VS_DS30DS30_6_1,256,-9.224620502,0.480923728,8.178972525,15.91390276,22.54588924,28.17519958
DS10DS10_0_1_VS_DS30DS30_6_1,260,-9.324888116,0.617920658,8.880845825,16.22902955,22.97560758,28.56194609
DS10DS10_0_1_VS_DS30DS30_6_1,264,-9.324888116,0.736150499,8.923817659,16.60145211,23.3623541,28.97734049
DS10DS10_0_1_VS_DS30DS30_6_1,268,-9.267592336,0.871740961,9.124352887,16.97387468,23.69180483,29.47867856
DS10DS10_0_1_VS_DS30DS30_6_1,272,-8.923817659,0.977465998,9.439479675,17.16008596,23.99260767,29.89407296
DS10DS10_0_1_VS_DS30DS30_6_1,276,-8.86652188,1.106811221,9.740282517,17.60412826,24.42232602,30.29514342
DS10DS10_0_1_VS_DS30DS30_6_1,280,-8.83787399,1.192325172,9.912169856,17.89060715,24.79474858,30.73918571
DS10DS10_0_1_VS_DS30DS30_6_1,284,-8.923817659,1.724889442,10.19864875,18.22005789,25.00960776,31.16890406
DS10DS10_0_1_VS_DS30DS30_6_1,288,-8.895169769,1.47608252,10.51377554,18.27735366,25.4393261,31.62727029
DS10DS10_0_1_VS_DS30DS30_6_1,292,-8.83787399,2.106765813,10.68566288,18.6068044,25.86904445,31.99969286
DS10DS10_0_1_VS_DS30DS30_6_1,296,-8.823550045,2.405849782,10.88619811,18.92193118,26.32741069,32.32914359
DS10DS10_0_1_VS_DS30DS30_6_1,300,-8.451127478,2.47374528,11.02943756,19.1511143,26.54226986,32.81615772
DS10DS10_0_1_VS_DS30DS30_6_1,304,-8.393831699,2.503968804,11.3302404,19.3086777,26.91469243,33.38911551
DS10DS10_0_1_VS_DS30DS30_6_1,308,-8.365183809,2.602804024,11.53077563,19.88163549,27.15819949,33.48938313
DS10DS10_0_1_VS_DS30DS30_6_1,312,-8.336535919,2.776123757,11.71698691,19.98190311,27.58791784,34.03369303
DS10DS10_0_1_VS_DS30DS30_6_1,316,-8.365183809,2.940849123,11.86022636,20.1394665,28.00331224,34.36314376
DS10DS10_0_1_VS_DS30DS30_6_1,320,-8.365183809,3.106290686,12.0321137,20.35432567,28.33276297,34.87880578
DS10DS10_0_1_VS_DS30DS30_6_1,324,-8.322211974,3.267864785,12.24697287,20.59783273,28.61924187,35.32284807
DS10DS10_0_1_VS_DS30DS30_6_1,328,-7.964113352,3.359251553,12.43318415,20.81269191,29.00598838,35.59500302
DS10DS10_0_1_VS_DS30DS30_6_1,332,-7.921141518,3.48472931,12.63371938,20.99890319,29.24949544,36.15363687
DS10DS10_0_1_VS_DS30DS30_6_1,336,-7.892493628,3.572821571,12.8629025,21.41429759,29.57894617,36.640651
DS10DS10_0_1_VS_DS30DS30_6_1,340,-7.892493628,3.841109059,13.13505745,21.61483282,29.98001663,36.85551017
DS10DS10_0_1_VS_DS30DS30_6_1,344,-7.863845738,3.963005829,13.40721241,21.8010441,30.3524392,37.19928485
DS10DS10_0_1_VS_DS30DS30_6_1,348,-7.878169683,4.062127528,13.59342369,22.2450864,30.68188993,37.58603136
DS10DS10_0_1_VS_DS30DS30_6_1,352,-7.849521793,4.188178243,13.73666314,22.51724135,31.02566461,38.00142576
DS10DS10_0_1_VS_DS30DS30_6_1,356,-7.806549959,4.48525686,14.09476176,23.43397382,31.26917167,38.40249622
DS10DS10_0_1_VS_DS30DS30_6_1,360,-7.505747116,4.574208557,14.35259277,23.01857942,31.68456607,38.80356668
DS10DS10_0_1_VS_DS30DS30_6_1,364,-7.491423171,4.731055754,14.553128,23.53424143,32.0140168,39.27625686
DS10DS10_0_1_VS_DS30DS30_6_1,368,-7.477099226,4.782765195,14.69636745,23.59153721,32.34346754,39.46246814
DS10DS10_0_1_VS_DS30DS30_6_1,372,-7.391155557,4.802818718,14.85393084,23.69180483,32.7158901,39.8635386
DS10DS10_0_1_VS_DS30DS30_6_1,376,-7.419803447,4.946917603,14.98284634,23.99260767,33.05966478,40.42217245
